;link;sku_desc;sku_name;price
154;https://makeup.com.ua/product/202309/;Matrix Total Results Color Obsessed Shampoo;Шампунь для сохранения цвета окрашенных волос;191 ₴
155;https://makeup.com.ua/product/730515/;L'Oreal Professionnel Serie Expert Vitamino Color Resveratrol Shampoo;Шампунь для окрашенных волос;435 ₴
156;https://makeup.com.ua/product/10731/;Vichy Dercos Energising Shampoo;Шампунь тонизирующий с аминексилом;355 ₴
157;https://makeup.com.ua/product/383629/;Vichy Dercos Densi-Solutions Thickening Shampoo;Шампунь для восстановления густоты и объема тонких и ослабленных волос;350 ₴
158;https://makeup.com.ua/product/202445/;Matrix Total Results Mega Sleek Shampoo;Шампунь с маслом Ши для гладкости волос;261 ₴
159;https://makeup.com.ua/product/185851/;Batiste Dry Shampoo Dark and Deep Brown a Hint of Color;Сухой шампунь;143 ₴
160;https://makeup.com.ua/product/790444/;Kerastase Genesis Hydra-Fortifiant Shampoo;Шампунь-ванна для укрепления ослабленных волос;1095 ₴
161;https://makeup.com.ua/product/202341/;Matrix Total Results High Amplify Shampoo;Шампунь с протеинами для объема;259 ₴
162;https://makeup.com.ua/product/100194/;Kerastase Densifique Bain Densite Shampoo;Шампунь-ванна для увеличения густоты волос;1055 ₴
163;https://makeup.com.ua/product/124289/;Daeng Gi Meo Ri Honey Therapy Shampoo;"Шампунь ""Медовая терапия""";704 ₴
164;https://makeup.com.ua/product/185411/;Inebrya Ice Cream Keratin Restructuring Shampoo;Восстанавливающий шампунь с кератином;162 ₴
165;https://makeup.com.ua/product/11097/;Brelil Numero Restructuring Shampoo with Oats;Восстанавливающий шампунь для волос с экстрактом овса;154 ₴
166;https://makeup.com.ua/product/152877/;CHI Argan Oil Plus Moringa Oil Shampoo;Восстанавливающий шампунь;686 ₴
167;https://makeup.com.ua/product/344161/;Сульсена (shm/150ml + paste/75ml);Набор косметический №2;195 ₴
168;https://makeup.com.ua/product/182875/;Batiste Dry Shampoo Coconut and Exotic Tropical;Сухой шампунь;88 ₴
169;https://makeup.com.ua/product/677413/;Dead Sea Collection Men’s Sandalwood Face, Hair & Body Wash 3 in 1;Гель для душа, волос и лица для мужчин;179 ₴
170;https://makeup.com.ua/product/824829/;L'Oreal Professionnel Serie Expert Pro Longer Lengths Renewing Shampoo;Шампунь для восстановления плотности поверхности волос по длине;504 ₴
171;https://makeup.com.ua/product/270709/;Jerden Proff Sulfate Free Shampoo;Шампунь для волос бессульфатный с кератином;153 ₴
172;https://makeup.com.ua/product/974371/;Vichy Dercos PSOlution;Кератолитический шампунь для кожи головы с проявлениями шелушения и зуда;421 ₴
173;https://makeup.com.ua/product/185827/;Batiste Dry Shampoo Heavenly Volume;Сухой шампунь;197 ₴
174;https://makeup.com.ua/product/109233/;Profi style;Бессульфатный шампунь увлажняющий;83 ₴
175;https://makeup.com.ua/product/202313/;Matrix Total Results Color Obsessed So Silver Shampoo;Шампунь для нейтрализации нежелательных желтых полутонов волос оттенков блонд;243 ₴
176;https://makeup.com.ua/product/1137945/;Mr.Scrubber Amazing Ukraine;"Адвент-календарь ""Удивительная Украина""";2249 ₴
177;https://makeup.com.ua/product/470169/;OGX Shampoo Brazilian Keratin Therapy;"Разглаживающий шампунь для укрепления волос ""Бразильский кератин""";268 ₴
178;https://makeup.com.ua/product/34319/;CHI Infra Shampoo;Шампунь Инфра;422 ₴
179;https://makeup.com.ua/product/10726/;Vichy Dercos Anti-Dandruff Treatment Shampoo;Шампунь против перхоти интенсивного действия для сухих волос;357 ₴
